LumiCycle: 06 (Raw)
Date,Time (hr:min),Time (days),counts/sec, baseline 
12/13/2017,14:52,000.61944,00341.618,00408.758
12/13/2017,15:07,000.62986,00345.415,00408.205
12/13/2017,15:22,000.64028,00358.510,00407.445
12/13/2017,15:37,000.65069,00373.336,00406.506
12/13/2017,15:52,000.66111,00396.233,00405.445
12/13/2017,16:07,000.67153,00417.523,00404.298
12/13/2017,16:22,000.68194,00443.321,00402.998
12/13/2017,16:37,000.69236,00470.690,00401.598
12/13/2017,16:52,000.70278,00496.048,00400.130
12/13/2017,17:07,000.71319,00518.197,00398.651
12/13/2017,17:22,000.72361,00545.782,00397.030
12/13/2017,17:37,000.73403,00569.893,00395.374
12/13/2017,17:52,000.74444,00588.570,00393.685
12/13/2017,18:07,000.75486,00595.013,00392.082
12/13/2017,18:22,000.76528,00612.862,00390.326
12/13/2017,18:37,000.77569,00620.628,00388.637
12/13/2017,18:52,000.78611,00625.138,00386.932
12/13/2017,19:07,000.79653,00621.723,00385.277
12/13/2017,19:22,000.80694,00621.742,00383.559
12/13/2017,19:37,000.81736,00615.996,00381.873
12/13/2017,19:52,000.82778,00613.667,00380.134
12/13/2017,20:07,000.83819,00604.177,00378.465
12/13/2017,20:22,000.84861,00593.950,00376.818
12/13/2017,20:37,000.85903,00579.811,00375.184
12/13/2017,20:52,000.86944,00568.621,00373.528
12/13/2017,21:07,000.87986,00556.714,00371.879
12/13/2017,21:22,000.89028,00544.398,00370.273
12/13/2017,21:37,000.90069,00528.262,00368.699
12/13/2017,21:52,000.91111,00516.458,00367.138
12/13/2017,22:07,000.92153,00504.036,00365.569
12/13/2017,22:22,000.93194,00489.108,00364.052
12/13/2017,22:37,000.94236,00475.358,00362.587
12/13/2017,22:52,000.95278,00462.711,00361.147
12/13/2017,23:07,000.96319,00452.120,00359.700
12/13/2017,23:22,000.97361,00440.262,00358.352
12/13/2017,23:37,000.98403,00429.365,00357.029
12/13/2017,23:52,000.99444,00415.615,00355.797
12/14/2017,00:07,001.00486,00405.686,00354.583
12/14/2017,00:22,001.01528,00399.779,00353.374
12/14/2017,00:37,001.02569,00387.887,00352.264
12/14/2017,00:52,001.03611,00376.247,00351.255
12/14/2017,01:07,001.04653,00369.389,00350.267
12/14/2017,01:22,001.05694,00355.499,00349.413
12/14/2017,01:37,001.06736,00347.024,00348.585
12/14/2017,01:52,001.07778,00335.257,00347.907
12/14/2017,02:07,001.08819,00328.675,00347.236
12/14/2017,02:22,001.09861,00317.336,00346.698
12/14/2017,02:37,001.10903,00309.973,00346.209
12/14/2017,02:52,001.11944,00299.074,00345.830
12/14/2017,03:07,001.12986,00292.341,00345.513
12/14/2017,03:22,001.14028,00281.801,00345.258
12/14/2017,03:37,001.15069,00266.313,00345.004
12/14/2017,03:52,001.16111,00262.661,00344.541
12/14/2017,04:07,001.17153,00252.758,00343.975
12/14/2017,04:22,001.18194,00242.576,00343.271
12/14/2017,04:37,001.19236,00234.663,00342.395
12/14/2017,04:52,001.20278,00226.063,00341.258
12/14/2017,05:07,001.21319,00221.711,00339.890
12/14/2017,05:22,001.22361,00213.641,00338.421
12/14/2017,05:37,001.23403,00206.686,00336.725
12/14/2017,05:52,001.24444,00198.185,00334.794
12/14/2017,06:07,001.25486,00194.205,00332.731
12/14/2017,06:22,001.26528,00190.904,00330.594
12/14/2017,06:37,001.27569,00187.177,00328.306
12/14/2017,06:52,001.28611,00182.467,00325.972
12/14/2017,07:07,001.29653,00179.364,00323.629
12/14/2017,07:22,001.30694,00176.704,00321.274
12/14/2017,07:37,001.31736,00173.974,00318.946
12/14/2017,07:52,001.32778,00172.317,00316.674
12/14/2017,08:07,001.33819,00171.917,00314.441
12/14/2017,08:22,001.34861,00173.335,00312.263
12/14/2017,08:37,001.35903,00170.607,00310.281
12/14/2017,08:52,001.36944,00171.422,00308.389
12/14/2017,09:07,001.37986,00171.445,00306.611
12/14/2017,09:22,001.39028,00175.126,00304.887
12/14/2017,09:37,001.40069,00174.359,00303.254
12/14/2017,09:52,001.41111,00179.935,00301.725
12/14/2017,10:07,001.42153,00178.560,00300.310
12/14/2017,10:22,001.43194,00181.061,00298.980
12/14/2017,10:37,001.44236,00187.274,00297.714
12/14/2017,10:52,001.45278,00190.649,00296.521
12/14/2017,11:07,001.46319,00192.123,00295.435
12/14/2017,11:22,001.47361,00200.410,00294.337
12/14/2017,11:37,001.48403,00203.724,00293.387
12/14/2017,11:52,001.49444,00209.526,00292.423
12/14/2017,12:07,001.50486,00215.170,00291.571
12/14/2017,12:22,001.51528,00219.670,00290.754
12/14/2017,12:37,001.52569,00223.167,00289.958
12/14/2017,12:52,001.53611,00233.073,00289.200
12/14/2017,13:07,001.54653,00239.956,00288.487
12/14/2017,13:22,001.55694,00245.757,00287.805
12/14/2017,13:37,001.56736,00253.610,00287.172
12/14/2017,13:52,001.57778,00264.742,00286.532
12/14/2017,14:07,001.58819,00270.614,00285.979
12/14/2017,14:22,001.59861,00278.626,00285.421
12/14/2017,14:37,001.60903,00287.323,00284.912
12/14/2017,14:52,001.61944,00294.359,00284.398
12/14/2017,15:07,001.62986,00304.492,00283.914
12/14/2017,15:22,001.64028,00310.392,00283.476
12/14/2017,15:37,001.65069,00318.604,00283.074
12/14/2017,15:52,001.66111,00325.226,00282.796
12/14/2017,16:07,001.67153,00331.973,00282.508
12/14/2017,16:22,001.68194,00339.789,00282.239
12/14/2017,16:37,001.69236,00351.329,00281.990
12/14/2017,16:52,001.70278,00352.898,00281.862
12/14/2017,17:07,001.71319,00360.370,00281.721
12/14/2017,17:22,001.72361,00369.162,00281.589
12/14/2017,17:37,001.73403,00376.024,00281.476
12/14/2017,17:52,001.74444,00376.001,00281.443
12/14/2017,18:07,001.75486,00386.487,00281.407
12/14/2017,18:22,001.76528,00386.570,00281.467
12/14/2017,18:37,001.77569,00389.506,00281.475
12/14/2017,18:52,001.78611,00391.893,00281.540
12/14/2017,19:07,001.79653,00397.084,00281.614
12/14/2017,19:22,001.80694,00392.962,00281.766
12/14/2017,19:37,001.81736,00395.514,00281.861
12/14/2017,19:52,001.82778,00396.227,00281.988
12/14/2017,20:07,001.83819,00398.936,00282.085
12/14/2017,20:22,001.84861,00396.520,00282.218
12/14/2017,20:37,001.85903,00400.909,00282.305
12/14/2017,20:52,001.86944,00398.975,00282.428
12/14/2017,21:07,001.87986,00397.956,00282.570
12/14/2017,21:22,001.89028,00394.946,00282.702
12/14/2017,21:37,001.90069,00386.860,00282.840
12/14/2017,21:52,001.91111,00387.041,00282.925
12/14/2017,22:07,001.92153,00379.182,00283.060
12/14/2017,22:22,001.93194,00378.932,00283.113
12/14/2017,22:37,001.94236,00373.785,00283.238
12/14/2017,22:52,001.95278,00364.218,00283.367
