LumiCycle: C6 (Raw)
Date,Time (hr:min),Time (days),counts/sec, baseline 
12/15/2016,16:26,000.68472,00048.938,00693.861
12/15/2016,16:36,000.69861,01836.266,00684.572
12/15/2016,16:46,000.70556,01733.051,00701.611
12/15/2016,16:56,000.71250,01668.136,00717.972
12/15/2016,17:06,000.71944,01640.184,00733.780
12/15/2016,17:16,000.72639,01619.198,00749.508
12/15/2016,17:26,000.73333,01580.328,00765.384
12/15/2016,17:36,000.74028,01552.941,00780.971
12/15/2016,17:46,000.74722,01521.680,00796.423
12/15/2016,17:56,000.75417,01500.288,00811.575
12/15/2016,18:06,000.76111,01473.392,00826.576
12/15/2016,18:16,000.76806,01449.378,00841.487
12/15/2016,18:26,000.77500,01433.540,00856.148
12/15/2016,18:36,000.78194,01400.078,00870.827
12/15/2016,18:46,000.78889,01376.898,00885.122
12/15/2016,18:56,000.79583,01359.275,00899.127
12/15/2016,19:06,000.80278,01329.075,00912.990
12/15/2016,19:16,000.80972,01302.466,00926.713
12/15/2016,19:26,000.81667,01275.391,00940.162
12/15/2016,19:36,000.82361,01254.761,00953.360
12/15/2016,19:46,000.83056,01235.110,00966.299
12/15/2016,19:56,000.83750,01206.778,00979.095
12/15/2016,20:06,000.84444,01191.172,00991.382
12/15/2016,20:16,000.85139,01178.143,01003.480
12/15/2016,20:26,000.85833,01171.762,01015.145
12/15/2016,20:36,000.86528,01159.156,01026.624
12/15/2016,20:46,000.87222,01154.518,01037.818
12/15/2016,20:56,000.87917,01144.332,01048.777
12/15/2016,21:06,000.88611,01154.407,01059.345
12/15/2016,21:16,000.89306,01161.106,01069.850
12/15/2016,21:26,000.90000,01158.017,01080.203
12/15/2016,21:36,000.90694,01157.368,01090.274
12/15/2016,21:46,000.91389,01157.848,01100.219
12/15/2016,21:56,000.92083,01164.095,01109.893
12/15/2016,22:06,000.92778,01159.112,01119.562
12/15/2016,22:16,000.93472,01174.211,01128.816
12/15/2016,22:26,000.94167,01162.758,01138.261
12/15/2016,22:36,000.94861,01167.436,01147.302
12/15/2016,22:46,000.95556,01172.573,01131.372
12/15/2016,22:56,000.96250,01162.028,01116.997
12/15/2016,23:06,000.96944,01159.128,01103.292
12/15/2016,23:16,000.97639,01160.382,01089.827
12/15/2016,23:26,000.98333,01153.110,01076.540
12/15/2016,23:36,000.99028,01143.830,01063.724
12/15/2016,23:46,000.99722,01130.222,01051.322
12/15/2016,23:56,001.00417,01118.492,01039.274
12/16/2016,00:06,001.01111,01102.080,01027.399
12/16/2016,00:16,001.01806,01098.520,01015.753
12/16/2016,00:26,001.02500,01088.731,01004.380
12/16/2016,00:36,001.03194,01072.390,00993.208
12/16/2016,00:46,001.03889,01055.003,00982.406
12/16/2016,00:56,001.04583,01039.659,00971.852
12/16/2016,01:06,001.05278,01016.879,00961.531
12/16/2016,01:16,001.05972,01010.369,00951.348
12/16/2016,01:26,001.06667,00990.175,00941.579
12/16/2016,01:36,001.07361,00978.591,00932.013
12/16/2016,01:46,001.08056,00960.851,00922.859
12/16/2016,01:56,001.08750,00941.924,00913.741
12/16/2016,02:06,001.09444,00918.017,00905.023
12/16/2016,02:16,001.10139,00906.974,00896.318
12/16/2016,02:26,001.10833,00882.448,00887.809
12/16/2016,02:36,001.11528,00862.780,00879.214
12/16/2016,02:46,001.12222,00850.278,00870.636
12/16/2016,02:56,001.12917,00827.822,00862.094
12/16/2016,03:06,001.13611,00819.895,00853.337
12/16/2016,03:16,001.14306,00811.989,00844.265
12/16/2016,03:26,001.15000,00791.263,00835.268
12/16/2016,03:36,001.15694,00773.405,00826.079
12/16/2016,03:46,001.16389,00765.451,00816.720
12/16/2016,03:56,001.17083,00751.750,00807.244
12/16/2016,04:06,001.17778,00740.067,00797.495
12/16/2016,04:16,001.18472,00730.328,00787.722
12/16/2016,04:26,001.19167,00717.524,00777.627
12/16/2016,04:36,001.19861,00704.590,00767.601
12/16/2016,04:46,001.20556,00694.465,00757.378
12/16/2016,04:56,001.21250,00687.464,00746.862
12/16/2016,05:06,001.21944,00678.543,00736.487
12/16/2016,05:16,001.22639,00671.934,00725.927
12/16/2016,05:26,001.23333,00655.227,00715.410
12/16/2016,05:36,001.24028,00648.355,00704.780
12/16/2016,05:46,001.24722,00646.364,00694.185
12/16/2016,05:56,001.25417,00642.474,00683.689
12/16/2016,06:06,001.26111,00628.861,00673.400
12/16/2016,06:16,001.26806,00631.327,00663.021
12/16/2016,06:26,001.27500,00620.724,00652.860
12/16/2016,06:36,001.28194,00612.834,00642.750
12/16/2016,06:46,001.28889,00604.916,00632.863
12/16/2016,06:56,001.29583,00601.665,00623.040
12/16/2016,07:06,001.30278,00593.448,00613.428
12/16/2016,07:16,001.30972,00589.381,00604.141
12/16/2016,07:26,001.31667,00578.885,00595.017
12/16/2016,07:36,001.32361,00575.069,00586.047
12/16/2016,07:46,001.33056,00577.911,00577.165
12/16/2016,07:56,001.33750,00559.709,00568.832
12/16/2016,08:06,001.34444,00555.125,00560.565
12/16/2016,08:16,001.35139,00553.391,00552.616
12/16/2016,08:26,001.35833,00541.015,00544.942
12/16/2016,08:36,001.36528,00533.192,00537.636
12/16/2016,08:46,001.37222,00529.057,00530.624
12/16/2016,08:56,001.37917,00517.028,00523.852
12/16/2016,09:06,001.38611,00505.940,00517.396
12/16/2016,09:16,001.39306,00493.262,00511.145
12/16/2016,09:26,001.40000,00492.614,00504.899
12/16/2016,09:36,001.40694,00478.565,00499.272
12/16/2016,09:46,001.41389,00475.538,00493.795
12/16/2016,09:56,001.42083,00461.894,00488.693
12/16/2016,10:06,001.42778,00450.471,00483.803
12/16/2016,10:16,001.43472,00445.760,00479.128
12/16/2016,10:26,001.44167,00434.515,00474.777
12/16/2016,10:36,001.44861,00427.997,00470.636
12/16/2016,10:46,001.45556,00421.239,00466.817
12/16/2016,10:56,001.46250,00408.438,00463.348
12/16/2016,11:06,001.46944,00406.100,00460.042
12/16/2016,11:16,001.47639,00392.192,00457.142
12/16/2016,11:26,001.48333,00386.453,00454.467
12/16/2016,11:36,001.49028,00380.878,00452.173
12/16/2016,11:46,001.49722,00379.021,00450.039
12/16/2016,11:56,001.50417,00370.575,00448.366
12/16/2016,12:06,001.51111,00364.079,00446.872
12/16/2016,12:16,001.51806,00357.258,00445.765
12/16/2016,12:26,001.52500,00356.368,00444.751
12/16/2016,12:36,001.53194,00352.882,00444.111
12/16/2016,12:46,001.53889,00352.639,00443.758
12/16/2016,12:56,001.54583,00344.506,00443.915
12/16/2016,13:06,001.55278,00339.353,00444.299
12/16/2016,13:16,001.55972,00344.125,00444.973
12/16/2016,13:26,001.56667,00342.974,00445.974
12/16/2016,13:36,001.57361,00340.540,00447.330
12/16/2016,13:46,001.58056,00341.894,00448.998
12/16/2016,13:56,001.58750,00342.697,00450.854
12/16/2016,14:06,001.59444,00342.107,00453.300
12/16/2016,14:16,001.60139,00343.925,00456.125
12/16/2016,14:26,001.60833,00342.111,00459.186
12/16/2016,14:36,001.61528,00348.577,00462.625
12/16/2016,14:46,001.62222,00353.780,00466.371
12/16/2016,14:56,001.62917,00350.638,00470.483
12/16/2016,15:06,001.63611,00351.890,00474.848
12/16/2016,15:16,001.64306,00357.151,00479.471
12/16/2016,15:26,001.65000,00361.690,00484.595
12/16/2016,15:36,001.65694,00372.057,00489.791
12/16/2016,15:46,001.66389,00376.037,00495.480
12/16/2016,15:56,001.67083,00384.465,00501.408
12/16/2016,16:06,001.67778,00388.239,00507.801
12/16/2016,16:16,001.68472,00398.770,00514.324
12/16/2016,16:26,001.69167,00405.809,00521.045
12/16/2016,16:36,001.69861,00412.837,00528.232
12/16/2016,16:46,001.70556,00422.871,00535.550
12/16/2016,16:56,001.71250,00431.897,00543.027
12/16/2016,17:06,001.71944,00447.037,00550.599
12/16/2016,17:16,001.72639,00455.844,00558.409
12/16/2016,17:26,001.73333,00473.646,00566.435
12/16/2016,17:36,001.74028,00484.494,00574.698
12/16/2016,17:46,001.74722,00492.817,00583.022
12/16/2016,17:56,001.75417,00517.457,00591.251
12/16/2016,18:06,001.76111,00528.433,00599.784
12/16/2016,18:16,001.76806,00542.334,00608.353
12/16/2016,18:26,001.77500,00557.374,00616.998
12/16/2016,18:36,001.78194,00571.177,00625.636
12/16/2016,18:46,001.78889,00587.189,00634.304
12/16/2016,18:56,001.79583,00608.078,00642.890
12/16/2016,19:06,001.80278,00624.181,00651.529
12/16/2016,19:16,001.80972,00646.726,00660.181
12/16/2016,19:26,001.81667,00660.343,00668.795
12/16/2016,19:36,001.82361,00674.080,00677.318
12/16/2016,19:46,001.83056,00696.482,00685.669
12/16/2016,19:56,001.83750,00712.351,00693.993
12/16/2016,20:06,001.84444,00735.255,00702.218
12/16/2016,20:16,001.85139,00760.292,00710.314
12/16/2016,20:26,001.85833,00771.983,00718.362
12/16/2016,20:36,001.86528,00795.100,00726.207
12/16/2016,20:46,001.87222,00808.121,00733.950
12/16/2016,20:56,001.87917,00821.943,00741.522
12/16/2016,21:06,001.88611,00832.572,00748.976
12/16/2016,21:16,001.89306,00844.054,00756.358
12/16/2016,21:26,001.90000,00866.745,00763.370
12/16/2016,21:36,001.90694,00877.094,00770.214
12/16/2016,21:46,001.91389,00892.191,00776.874
12/16/2016,21:56,001.92083,00910.755,00783.285
12/16/2016,22:06,001.92778,00925.952,00789.530
12/16/2016,22:16,001.93472,00930.630,00795.590
12/16/2016,22:26,001.94167,00936.758,00801.396
12/16/2016,22:36,001.94861,00958.987,00806.753
12/16/2016,22:46,001.95556,00964.928,00812.104
12/16/2016,22:56,001.96250,00968.612,00817.160
12/16/2016,23:06,001.96944,00968.728,00822.039
12/16/2016,23:16,001.97639,00977.241,00826.380
12/16/2016,23:26,001.98333,00987.916,00830.432
12/16/2016,23:36,001.99028,00992.222,00834.156
12/16/2016,23:46,001.99722,00988.490,00837.724
12/16/2016,23:56,002.00417,00996.184,00840.888
12/17/2016,00:06,002.01111,00995.932,00843.735
12/17/2016,00:16,002.01806,00994.959,00846.191
12/17/2016,00:26,002.02500,00994.699,00848.310
12/17/2016,00:36,002.03194,00992.149,00850.116
12/17/2016,00:46,002.03889,00992.956,00851.605
12/17/2016,00:56,002.04583,00991.691,00852.644
12/17/2016,01:06,002.05278,00982.685,00853.412
12/17/2016,01:16,002.05972,00984.773,00853.673
12/17/2016,01:26,002.06667,00977.990,00853.521
12/17/2016,01:36,002.07361,00970.342,00853.059
12/17/2016,01:46,002.08056,00964.242,00852.323
