LumiCycle: E5 (Raw)
Date,Time (hr:min),Time (days),counts/sec, baseline 
12/15/2016,16:41,000.69514,02408.067,01807.534
12/15/2016,16:51,000.70208,02399.313,01796.000
12/15/2016,17:01,000.70903,02177.784,01785.872
12/15/2016,17:11,000.71597,02070.524,01774.916
12/15/2016,17:21,000.72292,01993.470,01763.660
12/15/2016,17:31,000.72986,01917.866,01752.364
12/15/2016,17:41,000.73681,01855.307,01740.915
12/15/2016,17:51,000.74375,01795.929,01729.440
12/15/2016,18:01,000.75069,01734.375,01717.887
12/15/2016,18:11,000.75764,01692.200,01706.180
12/15/2016,18:21,000.76458,01649.380,01694.430
12/15/2016,18:31,000.77153,01599.055,01682.748
12/15/2016,18:41,000.77847,01560.207,01670.889
12/15/2016,18:51,000.78542,01523.296,01659.076
12/15/2016,19:01,000.79236,01481.100,01647.174
12/15/2016,19:11,000.79931,01446.584,01635.198
12/15/2016,19:21,000.80625,01414.264,01623.149
12/15/2016,19:31,000.81319,01376.583,01611.147
12/15/2016,19:41,000.82014,01338.423,01599.124
12/15/2016,19:51,000.82708,01307.137,01587.010
12/15/2016,20:01,000.83403,01280.711,01574.873
12/15/2016,20:11,000.84097,01260.747,01562.613
12/15/2016,20:21,000.84792,01230.614,01550.398
12/15/2016,20:31,000.85486,01201.177,01538.132
12/15/2016,20:41,000.86181,01190.713,01525.708
12/15/2016,20:51,000.86875,01176.086,01513.279
12/15/2016,21:01,000.87569,01157.687,01500.844
12/15/2016,21:11,000.88264,01137.695,01488.376
12/15/2016,21:21,000.88958,01139.410,01475.709
12/15/2016,21:31,000.89653,01128.395,01463.045
12/15/2016,21:41,000.90347,01130.900,01450.247
12/15/2016,21:51,000.91042,01123.888,01437.446
12/15/2016,22:01,000.91736,01122.324,01424.551
12/15/2016,22:11,000.92431,01118.580,01411.632
12/15/2016,22:21,000.93125,01125.916,01398.527
12/15/2016,22:31,000.93819,01121.828,01385.435
12/15/2016,22:41,000.94514,01111.440,01372.294
12/15/2016,22:51,000.95208,01123.850,01358.903
12/15/2016,23:01,000.95903,01106.929,01345.660
12/15/2016,23:11,000.96597,01111.318,01332.187
12/15/2016,23:21,000.97292,01111.710,01318.680
12/15/2016,23:31,000.97986,01104.865,01305.176
12/15/2016,23:41,000.98681,01102.399,01291.567
12/15/2016,23:51,000.99375,01098.066,01277.855
12/16/2016,00:01,001.00069,01101.517,01264.087
12/16/2016,00:11,001.00764,01088.192,01250.306
12/16/2016,00:21,001.01458,01070.514,01236.520
12/16/2016,00:31,001.02153,01071.245,01222.529
12/16/2016,00:41,001.02847,01064.651,01208.567
12/16/2016,00:51,001.03542,01056.304,01194.530
12/16/2016,01:01,001.04236,01038.688,01180.531
12/16/2016,01:11,001.04931,01029.166,01166.427
12/16/2016,01:21,001.05625,01021.004,01152.258
12/16/2016,01:31,001.06319,01008.971,01138.059
12/16/2016,01:41,001.07014,01002.337,01123.807
12/16/2016,01:51,001.07708,00978.608,01109.621
12/16/2016,02:01,001.08403,00968.581,01095.297
12/16/2016,02:11,001.09097,00951.173,01081.025
12/16/2016,02:21,001.09792,00942.335,01066.687
12/16/2016,02:31,001.10486,00926.188,01052.355
12/16/2016,02:41,001.11181,00915.676,01037.955
12/16/2016,02:51,001.11875,00898.532,01023.599
12/16/2016,03:01,001.12569,00879.501,01009.231
12/16/2016,03:11,001.13264,00865.769,00994.827
12/16/2016,03:21,001.13958,00851.890,00980.448
12/16/2016,03:31,001.14653,00835.461,00966.036
12/16/2016,03:41,001.15347,00825.770,00951.609
12/16/2016,03:51,001.16042,00813.648,00937.197
12/16/2016,04:01,001.16736,00796.463,00922.856
12/16/2016,04:11,001.17431,00773.165,00908.540
12/16/2016,04:21,001.18125,00770.765,00894.102
12/16/2016,04:31,001.18819,00759.347,00879.744
12/16/2016,04:41,001.19514,00748.628,00865.434
12/16/2016,04:51,001.20208,00738.357,00851.141
12/16/2016,05:01,001.20903,00728.129,00836.906
12/16/2016,05:11,001.21597,00723.131,00824.197
12/16/2016,05:21,001.22292,00710.123,00812.367
12/16/2016,05:31,001.22986,00705.820,00801.059
12/16/2016,05:41,001.23681,00696.955,00790.333
12/16/2016,05:51,001.24375,00696.276,00780.042
12/16/2016,06:01,001.25069,00682.873,00770.319
12/16/2016,06:11,001.25764,00679.988,00761.007
12/16/2016,06:21,001.26458,00673.278,00752.124
12/16/2016,06:31,001.27153,00675.502,00743.492
12/16/2016,06:41,001.27847,00661.637,00735.419
12/16/2016,06:51,001.28542,00669.999,00727.542
12/16/2016,07:01,001.29236,00652.086,00720.185
12/16/2016,07:11,001.29931,00648.908,00713.109
12/16/2016,07:21,001.30625,00640.693,00706.412
12/16/2016,07:31,001.31319,00642.103,00699.963
12/16/2016,07:41,001.32014,00638.673,00693.933
12/16/2016,07:51,001.32708,00632.266,00688.293
12/16/2016,08:01,001.33403,00633.973,00682.923
12/16/2016,08:11,001.34097,00622.674,00677.957
12/16/2016,08:21,001.34792,00618.899,00673.217
12/16/2016,08:31,001.35486,00612.374,00668.810
12/16/2016,08:41,001.36181,00608.617,00664.730
12/16/2016,08:51,001.36875,00603.592,00660.901
12/16/2016,09:01,001.37569,00599.025,00657.323
12/16/2016,09:11,001.38264,00592.743,00654.050
12/16/2016,09:21,001.38958,00585.705,00651.089
12/16/2016,09:31,001.39653,00573.380,00648.280
12/16/2016,09:41,001.40347,00567.722,00645.669
12/16/2016,09:51,001.41042,00557.634,00643.245
12/16/2016,10:01,001.41736,00549.683,00641.093
12/16/2016,10:11,001.42431,00544.008,00639.075
12/16/2016,10:21,001.43125,00528.314,00637.371
12/16/2016,10:31,001.43819,00518.694,00635.772
12/16/2016,10:41,001.44514,00505.345,00634.424
12/16/2016,10:51,001.45208,00492.098,00633.313
12/16/2016,11:01,001.45903,00484.247,00632.232
12/16/2016,11:11,001.46597,00472.243,00631.502
12/16/2016,11:21,001.47292,00463.478,00630.993
12/16/2016,11:31,001.47986,00456.733,00630.606
12/16/2016,11:41,001.48681,00445.797,00630.459
12/16/2016,11:51,001.49375,00429.321,00630.561
12/16/2016,12:01,001.50069,00428.807,00630.847
